	Bayesian
Class: e	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: p	Guess: p
Class: e	Guess: e
Class: p	Guess: p
Class: e	Guess: e
Class: e	Guess: e
Class: p	Guess: p
Class: p	Guess: p
Class: e	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: p	Guess: p
Class: e	Guess: e
Class: e	Guess: e
Class: p	Guess: p
Class: e	Guess: e
Class: p	Guess: p
Class: e	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: p	Guess: p
Class: p	Guess: p
Class: e	Guess: e
Class: e	Guess: e
Class: p	Guess: e
Class: e	Guess: e
Class: p	Guess: p
Class: e	Guess: e
Class: e	Guess: e
Class: p	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: p	Guess: p
Class: p	Guess: p
Class: p	Guess: p
Class: e	Guess: e
Class: e	Guess: e
Class: p	Guess: p
Class: e	Guess: e
Class: p	Guess: p
Class: e	Guess: e
Class: p	Guess: p
Class: e	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: p	Guess: p
Class: p	Guess: p
Class: p	Guess: p
Class: p	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: p	Guess: p
Class: e	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: p	Guess: p
Class: e	Guess: e
Class: e	Guess: e
Class: p	Guess: p
Class: e	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: p	Guess: e
Class: p	Guess: e
Class: p	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: p	Guess: p
Class: p	Guess: p
Class: p	Guess: p
Class: e	Guess: e
Class: p	Guess: p
Class: e	Guess: e
Class: p	Guess: p
Class: p	Guess: p
Class: p	Guess: p
Class: e	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: p	Guess: p
Class: p	Guess: p
Class: p	Guess: p
Class: e	Guess: e
Class: p	Guess: p
Class: e	Guess: e
Class: e	Guess: e
Class: p	Guess: p
Class: p	Guess: p
Class: p	Guess: p
Class: e	Guess: p
Class: p	Guess: p
Class: p	Guess: p
Class: p	Guess: p
Class: e	Guess: e
Class: p	Guess: p
Class: p	Guess: p
Class: e	Guess: e
Class: p	Guess: p
Class: e	Guess: e
Class: p	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: p	Guess: p
Class: p	Guess: p
Class: e	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: p	Guess: e
Class: p	Guess: p
Class: p	Guess: p
Class: p	Guess: p
Class: e	Guess: e
Class: p	Guess: e
Class: e	Guess: e
Class: p	Guess: p
Class: p	Guess: p
Class: p	Guess: p
Class: p	Guess: p
Class: e	Guess: e
Class: e	Guess: e
Class: p	Guess: p
Class: e	Guess: e
Class: p	Guess: e
Class: e	Guess: e
Class: p	Guess: p
Class: e	Guess: e
Class: p	Guess: p
Class: e	Guess: e
Class: e	Guess: e
Class: p	Guess: p
Class: p	Guess: e
Class: e	Guess: e
Class: p	Guess: p
Class: e	Guess: e
Class: p	Guess: p
Class: e	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: p	Guess: e
Class: e	Guess: e
Class: p	Guess: p
Class: e	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: p	Guess: p
Class: e	Guess: e
Class: p	Guess: p
Class: p	Guess: p
Class: p	Guess: p
Class: e	Guess: e
Class: p	Guess: p
Class: p	Guess: p
Class: p	Guess: p
Class: e	Guess: e
Class: p	Guess: p
Class: e	Guess: e
Class: e	Guess: e
Class: p	Guess: p
Class: p	Guess: p
Class: e	Guess: e
Class: p	Guess: p
Class: p	Guess: p
Class: e	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: p	Guess: p
Class: e	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: p	Guess: p
Class: p	Guess: p
Class: p	Guess: p
Class: p	Guess: p
Class: e	Guess: e
Class: p	Guess: e
Class: p	Guess: p
Class: e	Guess: e
Class: p	Guess: p
Class: p	Guess: p
Class: e	Guess: e
Class: p	Guess: p
Class: e	Guess: e
Class: e	Guess: e
Class: p	Guess: p
Class: e	Guess: e
Class: p	Guess: p
Class: e	Guess: e
Class: p	Guess: p
Class: e	Guess: e
Class: e	Guess: e
Class: e	Guess: e
Class: p	Guess: p
Class: e	Guess: e
Class: p	Guess: p
Class: p	Guess: p
Class: p	Guess: p
Class: e	Guess: e
Class: p	Guess: p
Class: e	Guess: e
Class: p	Guess: p
Class: p	Guess: p
Class: p	Guess: p
Class: p	Guess: p
Class: p	Guess: p
Class: e	Guess: e
Class: e	Guess: e
Class: p	Guess: p
Class: p	Guess: p
Class: p	Guess: p
Class: e	Guess: e
Class: p	Guess: p
Class: p	Guess: p
Class: p	Guess: p
Class: p	Guess: p
Class: p	Guess: p
Class: p	Guess: p
Class: e	Guess: e
Class: e	Guess: e
